num_timesteps,eval_reward_mean,eval_reward_std
250,-1198.8687456000002,14.287914477638843
500,-1448.2989387999999,37.51474765213058
750,-1235.6326175999998,149.11172026624985
1000,-729.7925956,92.62637369146186
1250,-672.9149288000001,128.51275524242263
1500,-671.4040576,39.447352024918615
1750,-831.5149922,52.62026341987511
2000,-1455.2011834,34.19866113099683
2250,-822.0743184,33.06472669260497
2500,-1426.8416706000003,37.28334751207449
2750,-943.6880666,96.6279523344519
3000,-961.0748606,24.250272702357822
3250,-953.6303379999999,53.85028622045295
3500,-955.1965016,51.828205527425425
3750,-1066.2046492000002,93.25904781425874
4000,-668.5497120000001,65.68111341613564
4250,-646.0245164,65.19440942967269
4500,-674.7309933999999,78.00900719995036
4750,-654.019756,54.125497629273774
5000,-745.1419966,127.11037295873278
