num_timesteps,eval_reward_mean,eval_reward_std
250,-1819.5553842000002,66.40344697162094
500,-1894.7009397999998,85.75819511469749
750,-2067.2089673999994,98.70220922566946
1000,-1423.2254286,84.88543494130516
1250,-1225.5673744,29.50687811612982
1500,-1392.1917055999998,76.85924838069081
1750,-1174.2537614,49.170539344436335
2000,-1172.2687186,54.763845665967544
2250,-1162.2243561999999,67.73681667357046
2500,-1121.4079637999998,62.037443610871186
2750,-1099.6462118000002,34.56298979351947
3000,-1069.7472994,42.89785613773985
3250,-1076.6078278,59.77146236819571
3500,-1098.8981696,41.54523100554014
3750,-1140.3715602,71.61844161114945
4000,-1077.5738747999999,27.936241954216122
4250,-1073.5857484,52.75068311809002
4500,-1064.412363,24.827865922250545
4750,-1048.4975564000001,63.751926779806354
5000,-1054.477587,39.904975727125915
