num_timesteps,eval_reward_mean,eval_reward_std
250,-1914.6290418,202.19004584674744
500,-846.6351113999999,75.20619104897905
750,-716.2497292,66.04141763450274
1000,-736.1687664,41.22282576387683
1250,-753.0328959999999,55.19910027362537
1500,-724.5772954,41.25464426605737
1750,-922.1860998,126.49267083163835
2000,-791.6245614,35.06600013683026
2250,-846.5007618,61.62072569820481
2500,-781.1182832000001,51.70136753153134
2750,-737.6388014,83.52439091602172
3000,-780.9736464,91.26367644576109
3250,-805.5018398,85.42277198229881
3500,-930.0488552,118.69959178830206
3750,-853.2405468,26.518430819210508
4000,-915.8552229999999,26.00469484950577
4250,-851.790935,50.47277129585887
4500,-845.4877508,65.01066119967268
4750,-790.6387715999999,78.68224297888904
5000,-756.8109492,94.65637734254788
