num_timesteps,eval_reward_mean,eval_reward_std
250,-801.9142685999999,55.33757817857249
500,-815.9802864000001,56.59912216043081
750,-733.4769344,39.13432925148635
1000,-753.9074681999999,100.75373386546211
1250,-878.4475957999999,62.496902746725034
1500,-1042.4831411999999,77.47562940327234
1750,-1178.3259604,127.18253204654528
2000,-837.0092864000002,116.60994702233441
2250,-888.3130236000001,118.41310499238372
2500,-1110.5779847999997,150.35059984182215
2750,-1061.5579566000001,90.03737120922683
3000,-937.8207692,64.17722776953445
3250,-793.419686,88.5939407516774
3500,-752.8205368,32.4593005251245
3750,-775.9270998000001,74.07730367049871
4000,-771.7898134,53.78760435724063
4250,-728.9357094000001,94.45638620526194
4500,-778.4180352000001,31.02325961768466
4750,-1004.5949801999999,54.751871184732465
5000,-967.5837128,117.74666187807999
