num_timesteps,eval_reward_mean,eval_reward_std
250,-1195.9684904,113.95602579086432
500,-792.4007566,63.045817964969274
750,-1323.9525456,128.50739797183155
1000,-1250.8712756,163.54377847465358
1250,-1397.9137156000002,67.39016694442762
1500,-1417.1723921999999,78.9822810199379
1750,-1333.0288348,95.74862327279939
2000,-753.493301,114.60517230856335
2250,-804.6132528,59.73229840199051
2500,-818.1469644,64.5014003345741
2750,-787.9062428,47.0554606786381
3000,-809.5614832,26.136396138899823
3250,-741.9255508,21.229395354113453
3500,-759.1194944000001,90.44257798025893
3750,-695.4226007999999,70.43904639770395
4000,-998.4394077999999,93.62734613377168
4250,-820.1090858,99.46967900660646
4500,-1015.0198457999999,82.33286720682266
4750,-904.5015338000001,92.63909075772457
5000,-862.4873525999999,56.0045071175686
