num_timesteps,eval_reward_mean,eval_reward_std
250,-3327.5017794,55.32892516723656
500,-3282.8848943999997,51.521273136604
750,-1143.6976766,21.296691224479098
1000,-649.4670880000001,39.548654264200124
1250,-1322.9789078,41.15240735389476
1500,-1560.6503854,26.09403784395067
1750,-1552.898756,47.05255700593052
2000,-1261.8961734,35.91080763563691
2250,-919.2771958000001,52.19110070560052
2500,-607.0401159999999,25.612623386725975
2750,-578.995197,14.243618363198351
3000,-591.6981006,39.73528557760477
3250,-597.2277293999999,30.450009676075076
3500,-613.4025852,33.0450966659736
3750,-616.227341,42.64765499342699
4000,-592.1775686000001,16.811901169082883
4250,-607.3699444,21.501368201250642
4500,-600.4133218,29.96166133756528
4750,-611.4361746,42.920494766210275
5000,-615.985946,30.39827783838127
