num_timesteps,eval_reward_mean,eval_reward_std
250,-1912.4091182,347.7001017493228
500,-2021.5443902,390.29443886421063
750,-1275.9671714,32.4474727617306
1000,-766.3692004000001,52.50470206076437
1250,-997.8285125999998,101.44806649883863
1500,-1563.3201944,46.0372085981879
1750,-1486.7463544,41.7896163616498
2000,-1254.8857810000002,44.70813431076106
2250,-638.0507142,54.10149745572562
2500,-618.6506876000001,42.55945076777842
2750,-611.4912116,29.046349343506204
3000,-610.7583152000001,56.476530739571785
3250,-589.0910914,15.309919322702514
3500,-609.7665696,19.424523713027625
3750,-596.8462394,15.858921127283999
4000,-615.4851802000001,34.41204023583075
4250,-584.7957973999999,22.615483240748663
4500,-588.4435458,15.081332363739905
4750,-579.7808828000001,18.22862733753886
5000,-569.7193087999999,7.95781832510432
