num_timesteps,eval_reward_mean,eval_reward_std
250,-673.2135172000001,60.41413363051692
500,-639.4561562,70.46217359730275
750,-1245.5875852,21.5621397823169
1000,-681.7975964,75.85622201844988
1250,-1216.2902284,62.446287434117615
1500,-1586.3642334,73.1302847921061
1750,-1545.1922712,55.09486800650381
2000,-1322.8853528,85.18219653641447
2250,-619.3171018,60.48959567279723
2500,-626.2646582,52.10258558023071
2750,-613.2122984,15.038474442282238
3000,-581.2380969999999,22.11246458491843
3250,-589.6456562000001,5.408658375411767
3500,-602.5741310000001,22.8442077847325
3750,-611.9846338,19.724199770701787
4000,-603.3897586,19.36975197457394
4250,-591.088882,37.24560808678366
4500,-607.4912821999999,17.678208962271665
4750,-615.1888246,32.107510549448044
5000,-579.6609356000001,14.007761737439138
