num_timesteps,eval_reward_mean,eval_reward_std
250,-1691.2223508000002,269.9693261008321
500,-1271.7358224,115.413554569185
750,-1395.986907,68.37147105897411
1000,-1352.789313,48.19191586942138
1250,-1200.1755440000002,62.86809455320688
1500,-867.1486021999999,29.06182248512202
1750,-860.1872034,63.80953468913566
2000,-736.7366042,63.21228917942904
2250,-767.6039903999999,54.62179657123753
2500,-737.9608953999999,74.90162635557576
2750,-682.88056,70.22531634568567
3000,-703.874939,103.71259094792529
3250,-714.8292064000001,63.19855313696385
3500,-673.9742554000001,47.07260563757665
3750,-547.714085,53.16049629580827
4000,-639.72798,76.05256186551206
4250,-755.0576394000001,42.98613130150478
4500,-677.4666371999999,42.72647289953565
4750,-584.1572653999999,45.221068275508244
5000,-662.2513372,48.12110574198886
