num_timesteps,eval_reward_mean,eval_reward_std
250,-849.8354178000002,31.2130854802806
500,-822.2905544000001,84.65003628268637
750,-1139.965298,61.51071569136722
1000,-953.626029,47.170849844763225
1250,-1176.1190001999998,50.22188255811699
1500,-869.516389,38.3732823052919
1750,-905.5006762,71.1795935801209
2000,-941.3191322,46.33676332435225
2250,-797.370654,68.22212180747688
2500,-814.9523216,55.06319770631526
2750,-805.2210914,30.740108509002138
3000,-864.8824546,48.23479729666971
3250,-710.9073838,40.25810261875085
3500,-586.221742,35.71277576450708
3750,-676.9668736,85.66272367307872
4000,-632.8031112000001,83.99696435683215
4250,-680.6618834,62.042765964075976
4500,-711.817626,41.17849668789653
4750,-604.087758,56.71800962291727
5000,-624.2765242,67.45357251120952
