num_timesteps,eval_reward_mean,eval_reward_std
250,-652.8135422,26.188138683005963
500,-854.6719897999999,71.6127281363301
750,-815.1275122,74.18530195967628
1000,-737.9554549999999,41.35809906065978
1250,-1282.8998213999998,62.750552072919376
1500,-937.8663852,70.19543454554545
1750,-974.9359038,50.77358828883836
2000,-904.3022636,92.22253454564697
2250,-867.8528682,42.20564753909002
2500,-949.2350746,64.613396292347
2750,-863.2414868,60.692942595495374
3000,-778.713154,55.82707809072637
3250,-973.0410004000001,99.12941832545557
3500,-817.4783744,29.046777813754595
3750,-743.8746904,36.62434659116577
4000,-618.211158,57.33858179902657
4250,-608.9851512,58.49114311395787
4500,-631.2245072,76.36690304272119
4750,-549.6169336,42.398061492744176
5000,-604.7610144,116.9319944113765
